name,countries
aada,['Finland']
aadhya,['India']
aarav,['India']
aariz,['Malaysia']
aaron,['Monaco']
aarya,['India']
aasha,['Nepal']
abbas,"['Iran, Islamic Republic of']"
abd,"['Israel', 'United Arab Emirates']"
abdallah,"['Egypt', 'Libya']"
abdel-rahman,['Egypt']
abdelkader,['Algeria']
abdoulaye,['Mali']
abdul,['Bangladesh']
abdulaziz,['Kuwait']
abdulla,['United Arab Emirates']
abdullah,"['Bangladesh', 'Iraq', 'Kuwait', 'Saudi Arabia', 'United Arab Emirates']"
abdullo,['Tajikistan']
abdulrahman,['Saudi Arabia']
abubakr,['Tajikistan']
abulfazl,"['Iran, Islamic Republic of']"
adam,"['Austria', 'Azerbaijan', 'Belgium', 'Czechia', 'France', 'Hungary', 'Israel', 'Jordan', 'Malaysia', 'Slovakia', 'United Arab Emirates']"
adama,['Mali']
adela,['Czechia']
adele,['Israel']
adin,['Bosnia and Herzegovina']
aditi,['India']
adomas,['Lithuania']
adrian,['Faroe Islands']
adriana,['Brazil']
adrians,['Latvia']
afonso,['Portugal']
agnes,['Denmark']
agustin,['Chile']
agustina,['Chile']
ahmad,"['Iran, Islamic Republic of', 'Israel', 'Lebanon', 'Malaysia', 'United Arab Emirates']"
ahmed,"['Algeria', 'Bangladesh', 'Bosnia and Herzegovina', 'Egypt', 'Iraq', 'Jordan', 'Kuwait', 'Libya', 'United Arab Emirates']"
ahmet,['Türkiye']
aicha,['Morocco']
aiden,['Jamaica']
aikaterini,['Greece']
aimar,['Spain']
aino,['Finland']
aisha,['Kuwait']
aisultan,['Kazakhstan']
aisyah,['Malaysia']
aitana,"['Ecuador', 'Peru']"
ajda,['Slovenia']
ajla,['Albania']
aksel,"['Denmark', 'Norway']"
alanoud,['Saudi Arabia']
albert,['Jersey']
alberte,['Denmark']
aldiyar,['Kazakhstan']
alejandro,"['Spain', 'Venezuela, Bolivarian Republic of']"
aleks,['Armenia']
aleksandar,"['Bulgaria', 'Montenegro', 'North Macedonia', 'Serbia']"
aleksander,['Poland']
aleksandr,['Russian Federation']
aleksandra,"['Bulgaria', 'North Macedonia']"
aleksandre,['Georgia']
alessandro,['Italy']
alessia,['Peru']
alex,['Spain']
alexander,"['Austria', 'Iceland', 'Mexico', 'Russian Federation']"
alexandra,"['Moldova, Republic of', 'Romania', 'Russian Federation']"
alexandru,"['Moldova, Republic of', 'Romania']"
alexey,['Russian Federation']
alfie,"['Isle of Man', 'United Kingdom']"
ali,"['Algeria', 'Azerbaijan', 'Bosnia and Herzegovina', 'Egypt', 'Iran, Islamic Republic of', 'Iraq', 'Israel', 'Jordan', 'Kazakhstan', 'Kuwait', 'Kyrgyzstan', 'Lebanon', 'Libya', 'Morocco', 'Pakistan', 'Saudi Arabia', 'Türkiye', 'United Arab Emirates']"
ali asaf,['Türkiye']
alice,"['Belgium', 'Brazil', 'Canada', 'El Salvador', 'France', 'Italy', 'Monaco', 'Portugal']"
alicja,['Poland']
alikhan,"['Kazakhstan', 'Kyrgyzstan']"
alina,['Switzerland']
aline,"['Brazil', 'Israel']"
alinur,"['Kazakhstan', 'Kyrgyzstan']"
alisa,"['Belarus', 'Estonia', 'Russian Federation']"
alise,['Latvia']
aliya,['Kyrgyzstan']
alma,"['Argentina', 'Denmark', 'El Salvador']"
alparslan,['Türkiye']
alteo,['Albania']
althea,['Philippines']
alvaro,['Spain']
alysha,['Aruba']
amahle,['South Africa']
amaia,"['New Zealand', 'Puerto Rico']"
amal,['Lebanon']
amalie,['Czechia']
amar,"['Albania', 'Bosnia and Herzegovina', 'Malaysia']"
amara,['New Zealand']
amaris,['Albania']
amayra,['India']
ambar,['Argentina']
ambra,['Albania']
ambre,['France']
amelia,"['Albania', 'Australia', 'Canada', 'Estonia', 'Jamaica', 'Moldova, Republic of', 'New Zealand', 'Romania', 'United Kingdom', 'United States']"
amelija,"['Latvia', 'Lithuania']"
amelja,['Albania']
amina,"['Algeria', 'Bosnia and Herzegovina', 'Kazakhstan', 'Kyrgyzstan', 'Morocco']"
aminata,['Mali']
amine,['Morocco']
